24a462f5e281d42045065057c7a18bec93e3863d,DELETE,regular-file,FestMVC/Views/Web.config,1926,
2de34f290f629f33fe6006686806a817a732cd83,DELETE,regular-file,FestMVC/Web.config,7514,
24a462f5e281d42045065057c7a18bec93e3863d,DELETE,regular-file,FestMVC/obj/Debug/CSAutoParameterize/original/Views/Web.config,1926,
43a2b26ac65c50bb973b5491998c28c6d98ce4f6,DELETE,regular-file,FestMVC/obj/Debug/CSAutoParameterize/original/Web.config,7675,
24a462f5e281d42045065057c7a18bec93e3863d,DELETE,regular-file,FestMVC/obj/Debug/CSAutoParameterize/transformed/Views/Web.config,1926,
50e2766edb355ed2a157dca40dba300603b3ac10,DELETE,regular-file,FestMVC/obj/Debug/CSAutoParameterize/transformed/Web.config,7570,
d4f663926553581acc805f7816d67469f09e3b72,DELETE,regular-file,FestMVC/obj/Debug/InsertEFCodeFirstDeploy/original/Web.config,7162,
73b5565b19b378438813275f689d67f919eef98c,DELETE,regular-file,FestMVC/obj/Debug/InsertEFCodeFirstDeploy/transformed/Web.config,7813,
24a462f5e281d42045065057c7a18bec93e3863d,DELETE,regular-file,FestMVC/obj/Debug/Package/PackageTmp/Views/Web.config,1926,
50e2766edb355ed2a157dca40dba300603b3ac10,DELETE,regular-file,FestMVC/obj/Debug/Package/PackageTmp/Web.config,7570,
680849f611f724a578219f864c3c5ab4ddf10678,DELETE,regular-file,FestMVC/obj/Debug/TransformWebConfig/assist/Web.config,1241,
9127e50db433aadc278dd806c950f3ce74a82179,DELETE,regular-file,FestMVC/obj/Debug/TransformWebConfig/original/Web.config,7644,
43a2b26ac65c50bb973b5491998c28c6d98ce4f6,DELETE,regular-file,FestMVC/obj/Debug/TransformWebConfig/transformed/Web.config,7675,
dbc56a7c87bbc50b888bb013ac7086c414b15de5,DELETE,regular-file,FestMVC/obj/Release/CSAutoParameterize/original/Views/Web.config,1916,
982bfda6c3f4c68322c928789973ea72638836fe,DELETE,regular-file,FestMVC/obj/Release/CSAutoParameterize/original/Web.config,6041,
dbc56a7c87bbc50b888bb013ac7086c414b15de5,DELETE,regular-file,FestMVC/obj/Release/CSAutoParameterize/transformed/Views/Web.config,1916,
bdeb9776edd39521b05d78983ac9c2605e2d101c,DELETE,regular-file,FestMVC/obj/Release/CSAutoParameterize/transformed/Web.config,5936,
dbc56a7c87bbc50b888bb013ac7086c414b15de5,DELETE,regular-file,FestMVC/obj/Release/Package/PackageTmp/Views/Web.config,1916,
bdeb9776edd39521b05d78983ac9c2605e2d101c,DELETE,regular-file,FestMVC/obj/Release/Package/PackageTmp/Web.config,5936,
943c9c0de71cc5dd7bbe0ce6a1a43c56ad30f36b,DELETE,regular-file,FestMVC/obj/Release/TransformWebConfig/assist/Web.config,1301,
4f7c88abb55da2a0e34ec0576f1ffe8ac3aad514,DELETE,regular-file,FestMVC/obj/Release/TransformWebConfig/original/Web.config,6009,
982bfda6c3f4c68322c928789973ea72638836fe,DELETE,regular-file,FestMVC/obj/Release/TransformWebConfig/transformed/Web.config,6041,
